id,holiday_date,name,is_substitute,created_at
1,2020-01-01,신정,false,2025-09-24 00:41:29.51985+00
2,2020-01-24,설날 전날,false,2025-09-24 00:41:29.51985+00
3,2020-01-25,설날,false,2025-09-24 00:41:29.51985+00
4,2020-01-26,설날 다음날,false,2025-09-24 00:41:29.51985+00
5,2020-03-01,3·1절,false,2025-09-24 00:41:29.51985+00
6,2020-04-30,석가탄신일,false,2025-09-24 00:41:29.51985+00
7,2020-05-01,근로자의 날,false,2025-09-24 00:41:29.51985+00
8,2020-05-05,어린이날,false,2025-09-24 00:41:29.51985+00
9,2020-06-06,현충일,false,2025-09-24 00:41:29.51985+00
10,2020-08-15,광복절,false,2025-09-24 00:41:29.51985+00
11,2020-09-30,추석 전날,false,2025-09-24 00:41:29.51985+00
12,2020-10-01,추석,false,2025-09-24 00:41:29.51985+00
13,2020-10-02,추석 다음날,false,2025-09-24 00:41:29.51985+00
14,2020-10-03,개천절,false,2025-09-24 00:41:29.51985+00
15,2020-10-09,한글날,false,2025-09-24 00:41:29.51985+00
16,2020-12-25,크리스마스,false,2025-09-24 00:41:29.51985+00
17,2021-01-01,신정,false,2025-09-24 00:41:29.51985+00
18,2021-02-11,설날 전날,false,2025-09-24 00:41:29.51985+00
19,2021-02-12,설날,false,2025-09-24 00:41:29.51985+00
20,2021-02-13,설날 다음날,false,2025-09-24 00:41:29.51985+00
21,2021-03-01,3·1절,false,2025-09-24 00:41:29.51985+00
