id,flight_type,year,month,flights_arrival,flights_departure,flights_total,pax_arrival,pax_departure,pax_total,cargo_arrival,cargo_departure,cargo_total,inserted_at,updated_at
69,international,2022,5,"6,027","6,070","12,097","479,621","468,378","947,999","141,383.1","137,767.9","279,150.9",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
70,international,2022,6,"6,585","6,634","13,219","662,142","624,780","1,286,922","136,675.7","136,593.6","273,269.3",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
71,international,2022,7,"7,877","7,939","15,816","893,717","961,760","1,855,477","136,030.9","132,991.7","269,022.6",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
72,international,2022,8,"8,670","8,691","17,361","1,105,101","1,021,355","2,126,456","137,742.2","132,799.9","270,542.1",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
73,international,2023,1,"13,606","13,632","27,238","2,223,493","2,414,319","4,637,812","139,050","138,486.8","277,536.8",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
74,international,2023,2,"12,914","12,937","25,851","2,351,691","2,221,295","4,572,986","144,374","132,806.1","277,180.1",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
75,international,2023,3,"14,395","14,407","28,802","2,464,369","2,267,635","4,732,004","157,586.1","152,363.4","309,949.5",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
76,international,2023,4,"15,179","15,231","30,410","2,433,133","2,424,926","4,858,059","150,435.5","144,215.5","294,651",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
77,international,2023,5,"16,779","16,782","33,561","2,622,535","2,636,673","5,259,208","148,460.7","144,189.8","292,650.5",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
78,international,2023,6,"16,741","16,757","33,498","2,785,466","2,795,221","5,580,687","156,992.9","150,635.1","307,628",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
79,international,2023,7,"18,691","18,718","37,409","3,125,240","3,282,906","6,408,146","163,961.9","161,278.6","325,240.5",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
80,international,2023,8,"19,149","19,138","38,287","3,422,093","3,260,840","6,682,933","162,227.5","160,555.4","322,782.9",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
81,international,2024,1,"21,432","21,465","42,897","3,552,281","3,752,362","7,304,643","165,653","166,114.1","331,767.1",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
82,international,2024,2,"20,196","20,196","40,392","3,658,150","3,545,238","7,203,388","162,548.7","152,741.4","315,290.1",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
83,international,2024,3,"21,098","21,067","42,165","3,768,447","3,414,055","7,182,502","188,166","172,513.7","360,679.7",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
84,international,2024,4,"20,216","20,211","40,427","3,453,444","3,471,867","6,925,311","172,564.8","166,583.8","339,148.6",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
85,international,2024,5,"21,268","21,296","42,564","3,543,668","3,574,662","7,118,330","178,389","171,273.3","349,662.4",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
86,international,2024,6,"20,943","20,956","41,899","3,610,655","3,615,900","7,226,555","178,028.1","174,588.2","352,616.2",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
87,international,2024,7,"22,484","22,518","45,002","3,738,565","3,967,944","7,706,509","176,454","177,769.7","354,223.7",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
88,international,2024,8,"22,910","22,921","45,831","4,119,968","3,873,159","7,993,127","177,045.2","172,874.3","349,919.6",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
89,international,2025,1,"23,430","23,457","46,887","3,977,855","4,262,440","8,240,295","167,489.3","173,995.3","341,484.6",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
90,international,2025,2,"20,840","20,844","41,684","3,860,924","3,681,114","7,542,038","167,788.3","152,238.4","320,026.7",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
91,international,2025,3,"22,314","22,292","44,606","3,980,843","3,609,457","7,590,300","190,768.9","178,191.2","368,960",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
92,international,2025,4,"21,279","21,336","42,615","3,638,141","3,730,552","7,368,693","175,234.4","172,062.9","347,297.2",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
93,international,2025,5,"22,247","22,269","44,516","3,849,177","3,816,626","7,665,803","180,297","173,804.4","354,101.4",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
94,international,2025,6,"21,974","21,972","43,946","3,822,758","3,799,966","7,622,724","180,357.4","174,604.6","354,962",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
95,international,2025,7,"23,855","23,917","47,772","3,887,254","4,138,316","8,025,570","182,340.8","180,726.2","363,067",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
96,international,2025,8,"24,440","24,457","48,897","4,377,269","4,148,694","8,525,963","180,485.3","174,503.8","354,989.1",2025-09-27 12:06:07.39439+00,2025-09-27 12:06:07.39439+00
97,total,2020,1,"39,481","39,495","78,976","6,687,637","6,762,665","13,450,302","180,834.7","190,850.8","371,685.5",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
98,total,2020,2,"29,356","29,281","58,637","3,615,009","3,444,939","7,059,948","156,384.2","158,499","314,883.2",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
99,total,2020,3,"13,164","13,067","26,231","1,454,673","1,399,389","2,854,062","137,672.1","135,705","273,377.1",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
100,total,2020,4,"12,733","12,713","25,446","1,329,449","1,241,636","2,571,085","122,984.8","118,019.6","241,004.4",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
101,total,2020,5,"17,440","17,439","34,879","1,998,332","1,947,007","3,945,339","124,751.7","122,871.3","247,623",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
102,total,2020,6,"18,548","18,550","37,098","2,289,125","2,254,078","4,543,203","125,304","120,032.4","245,336.4",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
103,total,2020,7,"20,599","20,608","41,207","2,607,091","2,593,338","5,200,429","136,035.4","134,958.6","270,994",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
104,total,2020,8,"22,394","22,410","44,804","2,962,999","2,972,377","5,935,376","133,802.1","140,701.5","274,503.6",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
105,total,2021,1,"14,820","14,863","29,683","1,556,438","1,582,319","3,138,757","138,705.3","150,851.1","289,556.4",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
106,total,2021,2,"19,540","19,556","39,096","2,400,493","2,396,078","4,796,571","136,189.5","137,716.4","273,906",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
107,total,2021,3,"22,734","22,770","45,504","2,697,983","2,703,942","5,401,925","163,003.7","162,951.4","325,955",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
108,total,2021,4,"24,715","24,723","49,438","3,089,544","3,091,243","6,180,787","162,020.5","156,824.2","318,844.6",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
109,total,2021,5,"25,310","25,326","50,636","3,254,428","3,237,012","6,491,440","164,657.4","156,958.6","321,616.1",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
110,total,2021,6,"24,065","24,100","48,165","3,192,798","3,184,493","6,377,291","161,839.8","154,979.3","316,819.1",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
111,total,2021,7,"24,888","24,893","49,781","3,095,019","3,091,917","6,186,936","166,527.1","160,852.4","327,379.5",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
112,total,2021,8,"23,336","23,340","46,676","2,876,825","2,904,287","5,781,112","161,252.3","154,980.3","316,232.6",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
113,total,2022,1,"24,718","24,807","49,525","3,319,626","3,350,673","6,670,299","158,292.2","163,988.7","322,280.9",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
114,total,2022,2,"22,979","23,061","46,040","3,080,009","3,052,402","6,132,411","140,474.4","142,792.2","283,266.5",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
115,total,2022,3,"22,986","23,073","46,059","2,672,788","2,681,084","5,353,872","161,048.1","164,898.8","325,946.9",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
116,total,2022,4,"23,833","23,875","47,708","3,515,783","3,510,421","7,026,204","159,498.3","154,796.3","314,294.7",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
117,total,2022,5,"25,586","25,629","51,215","3,970,491","3,959,248","7,929,739","160,786.2","157,171","317,957.3",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
118,total,2022,6,"25,129","25,178","50,307","4,022,382","3,985,020","8,007,402","155,603","155,521","311,124",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
119,total,2022,7,"26,716","26,779","53,495","4,088,935","4,157,156","8,246,091","155,037.1","151,998.9","307,035.9",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
120,total,2022,8,"27,280","27,300","54,580","4,324,692","4,240,768","8,565,460","158,597.7","153,654.3","312,252",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
121,total,2023,1,"29,309","29,335","58,644","4,891,097","5,081,923","9,973,020","158,141","157,577.8","315,718.8",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
122,total,2023,2,"27,549","27,572","55,121","4,950,612","4,820,216","9,770,828","162,203.6","150,635.8","312,839.4",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
123,total,2023,3,"30,585","30,597","61,182","5,089,469","4,892,735","9,982,204","175,021.2","169,798.5","344,819.6",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
124,total,2023,4,"31,189","31,241","62,430","5,233,125","5,224,918","10,458,043","167,731","161,511","329,242",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
125,total,2023,5,"33,421","33,424","66,845","5,529,102","5,543,240","11,072,342","166,227","161,956.1","328,183.2",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
126,total,2023,6,"33,028","33,044","66,072","5,618,913","5,628,668","11,247,581","173,865.9","167,508.1","341,373.9",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
127,total,2023,7,"34,656","34,683","69,339","5,743,000","5,900,666","11,643,666","180,216.5","177,533.2","357,749.7",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
128,total,2023,8,"35,177","35,166","70,343","6,192,002","6,030,749","12,222,751","180,884.4","179,212.3","360,096.7",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
129,total,2024,1,"36,768","36,801","73,569","6,116,806","6,316,887","12,433,693","183,226","183,687.1","366,913.1",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
130,total,2024,2,"34,749","34,749","69,498","6,108,500","5,995,588","12,104,088","179,532.8","169,725.4","349,258.2",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
131,total,2024,3,"36,669","36,638","73,307","6,270,045","5,915,653","12,185,698","204,595.6","188,943.3","393,538.9",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
132,total,2024,4,"35,852","35,847","71,699","6,151,946","6,170,369","12,322,315","190,047.6","184,066.6","374,114.2",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
133,total,2024,5,"37,447","37,475","74,922","6,335,870","6,366,864","12,702,734","195,907.9","188,792.3","384,700.2",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
134,total,2024,6,"36,846","36,859","73,705","6,289,217","6,294,462","12,583,679","193,915.3","190,475.4","384,390.8",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
135,total,2024,7,"38,552","38,586","77,138","6,331,107","6,560,486","12,891,593","192,320.4","193,636.1","385,956.5",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
136,total,2024,8,"39,121","39,132","78,253","6,908,979","6,662,170","13,571,149","195,273.5","191,102.6","386,376.1",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
137,total,2025,1,"37,665","37,692","75,357","6,255,979","6,540,564","12,796,543","183,364.9","189,870.8","373,235.7",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
138,total,2025,2,"33,111","33,115","66,226","5,852,239","5,672,429","11,524,668","181,281.2","165,731.3","347,012.4",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
139,total,2025,3,"36,484","36,462","72,946","6,194,077","5,822,691","12,016,768","205,974","193,396.3","399,370.3",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
140,total,2025,4,"36,259","36,316","72,575","6,117,300","6,209,711","12,327,011","191,651.5","188,480","380,131.5",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
141,total,2025,5,"37,757","37,779","75,536","6,489,906","6,457,355","12,947,261","197,215.6","190,723","387,938.6",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
142,total,2025,6,"37,202","37,200","74,402","6,408,369","6,385,577","12,793,946","195,854.8","190,101.9","385,956.7",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
143,total,2025,7,"39,506","39,568","79,074","6,497,811","6,748,873","13,246,684","198,372.9","196,758.2","395,131.1",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
144,total,2025,8,"40,327","40,344","80,671","7,121,486","6,892,911","14,014,397","198,242.7","192,261.2","390,503.9",2025-09-27 12:08:23.290788+00,2025-09-27 12:08:23.290788+00
