id,flight_type,year,month,flights_arrival,flights_departure,flights_total,pax_arrival,pax_departure,pax_total,cargo_arrival,cargo_departure,cargo_total,inserted_at,updated_at
1,domestic,2020,1,"16,479","16,480","32,959","2,764,331","2,764,475","5,528,806","23,696","23,696.4","47,392.4",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
2,domestic,2020,2,"12,816","12,815","25,631","1,535,297","1,535,153","3,070,450","13,964","13,963.6","27,927.6",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
3,domestic,2020,3,"7,852","7,852","15,704","1,103,206","1,103,206","2,206,412","10,617.5","10,617.5","21,235",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
4,domestic,2020,4,"9,389","9,389","18,778","1,208,393","1,208,393","2,416,786","10,142.3","10,142.3","20,284.5",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
5,domestic,2020,5,"13,564","13,564","27,128","1,903,446","1,903,446","3,806,892","12,092.6","12,092.6","24,185.2",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
6,domestic,2020,6,"14,756","14,756","29,512","2,179,927","2,179,927","4,359,854","12,997.8","12,997.8","25,995.6",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
7,domestic,2020,7,"16,524","16,524","33,048","2,490,263","2,490,263","4,980,526","15,156.9","15,156.9","30,313.7",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
8,domestic,2020,8,"18,173","18,173","36,346","2,849,683","2,849,683","5,699,366","18,569.7","18,569.7","37,139.5",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
9,domestic,2021,1,"9,750","9,751","19,501","1,462,831","1,463,001","2,925,832","11,096","11,096.7","22,192.7",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
10,domestic,2021,2,"15,030","15,029","30,059","2,314,816","2,314,646","4,629,462","15,867","15,866.3","31,733.3",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
11,domestic,2021,3,"17,166","17,166","34,332","2,608,117","2,608,117","5,216,234","16,383","16,383","32,765.9",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
12,domestic,2021,4,"19,213","19,213","38,426","3,000,452","3,000,452","6,000,904","17,010.1","17,010.1","34,020.1",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
13,domestic,2021,5,"19,821","19,821","39,642","3,141,565","3,141,565","6,283,130","16,837","16,837","33,674",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
14,domestic,2021,6,"18,660","18,660","37,320","3,064,318","3,064,318","6,128,636","16,919","16,919","33,838",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
15,domestic,2021,7,"19,380","19,380","38,760","2,946,588","2,946,588","5,893,176","16,945.2","16,945.2","33,890.3",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
16,domestic,2021,8,"18,043","18,043","36,086","2,719,440","2,719,440","5,438,880","16,637.4","16,637.4","33,274.7",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
17,domestic,2022,1,"19,099","19,099","38,198","3,154,673","3,154,673","6,309,346","21,333.8","21,333.8","42,667.6",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
18,domestic,2022,2,"18,185","18,185","36,370","2,904,598","2,904,598","5,809,196","18,318.3","18,318.3","36,636.5",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
19,domestic,2022,3,"17,336","17,336","34,672","2,469,594","2,469,594","4,939,188","16,461.3","16,461.3","32,922.6",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
20,domestic,2022,4,"18,491","18,491","36,982","3,185,610","3,185,610","6,371,220","18,465.3","18,465.3","36,930.6",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
21,domestic,2022,5,"19,559","19,559","39,118","3,490,870","3,490,870","6,981,740","19,403.2","19,403.2","38,806.3",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
