id,raw_no,lang,category,venue,event_name,period_raw,host_organizer,start_date,end_date
303,303,국문,전시일정," 제1전시장 회의실 217호",해양레저장비 표준 개발을 위한 산학연 공청회,20230421 0900~20230421 1800,벡스코 전시사업1실,2023-04-21,2023-04-21
304,304,국문,전시일정," 제1전시장  1홀",제22회 부산과학축전,20230422 1000~20230423 1700,"부산광역시, 부산광역시교육청 / 부산과학기술협의회, 부산광역시창의융합교육원",2023-04-22,2023-04-23
305,305,국문,전시일정," 제1전시장  2A홀",제33회 2023 부산창업박람회,20230427 1000~20230429 1700,선인커뮤니티㈜,2023-04-27,2023-04-29
306,306,국문,전시일정," 제1전시장  전관(1~3홀)",아트부산 2023,20230504 0000~20230507 0000,(사)아트쇼부산,2023-05-04,2023-05-07
307,307,국문,전시일정," 제1전시장  전관, 제2전시장 4A~4D홀",제11회 부산국제기계대전,20230516 1000~20230519 1700,"부산광역시, 부산시기계공업협동조합, 부산경남금형공업협동조합",2023-05-16,2023-05-19
308,308,국문,전시일정," 제1전시장  1~3홀, 제2전시장 4홀",2023 기후산업국제박람회,20230525 1000~20230527 1700,"산업통상자원부, 외교부, 국토교통부, 과학기술정보통신부, 환경부, 해양수산부, 행정안전부, 부산광역시, 부산세계박람회유치위원회, 대한상공회의소, 한국무역협회 / 한국에너지공단, 벡스코, 대한무역투자진흥공사 등",2023-05-25,2023-05-27
309,309,국문,전시일정," 제1전시장  1홀",부산콘텐츠마켓 2023,20230531 0000~20230602 0000,(사)부산콘텐츠마켓조직위원회,2023-05-31,2023-06-02
310,310,국문,전시일정," 제1전시장  3홀",2023 부산국제임신출산육아박람회(부산드림베이비페어) 상반기,20230601 1000~20230604 1800,(주)드림코리아,2023-06-01,2023-06-04
311,311,국문,전시일정," 제1전시장  2B홀",DIMF 2023,20230605 1000~20230607 1700,DN솔루션즈,2023-06-05,2023-06-07
312,312,국문,전시일정," 제1전시장 1홀, 2A홀",2023 부산국제조선해양대제전(2023 국제해양방위산업전 / 2023 국제항만·물류및해양환경산업전),20230607 1000~20230609 1700,"대한민국 해군, 대한민국 해병대, 부산광역시, 한국무역협회, 대한민국 해군발전협회, 부산조선해양기자재공업협동조합, 경연전람, 벡스코",2023-06-07,2023-06-09
313,313,국문,전시일정," 제1전시장  3홀",2023 코리아 캠핑카쇼,20230608 1000~20230611 1800,한국레저자동차산업협회 / 벡스코,2023-06-08,2023-06-11
314,314,국문,전시일정," 제1전시장  1, 2홀",2023 부산국제철도기술산업전,20230614 1000~20230617 1700,"부산광역시, 국가철도공단, 한국철도공사 / 벡스코, 메쎄 프랑크푸르트, 한국철도차량산업협회, 한국철도협회",2023-06-14,2023-06-17
315,315,국문,전시일정," 제1전시장  3A홀",2023 부산 차.공예 박람회,20230615 1000~20230618 1800,(주)메세코리아,2023-06-15,2023-06-18
316,316,국문,전시일정," 제2전시장 4F홀",BWC 부산 웨딩박람회,20230616 0000~20230618 0000,주식회사 비더블류씨,2023-06-16,2023-06-18
317,317,국문,전시일정," 제1전시장  1홀",제30회 부산국제식품대전,20230621 1000~20230624 1700,"한국식품안전관리인증원/한국산업마케팅연구원 ",2023-06-21,2023-06-24
318,318,국문,전시일정," 제1전시장  2홀",제13회 부산커피쇼,20230621 1000~20230624 1700,"(사)한국커피연합회, 한국산업마케팅연구원 부산지사",2023-06-21,2023-06-24
319,319,국문,전시일정," 제1전시장 3홀",2023 부산 홈·테이블데코페어,20230622 1000~20230625 1800,"케이엔엔, 리드케이훼어스, 까사리빙",2023-06-22,2023-06-25
320,320,국문,전시일정," 제2전시장 4C,D,E홀",2023 부산디자인위크,20230622 1030~20230625 1800,"(주)디자인하우스, KNN, 부산디자인진흥원 / 월간&lt;디자인&gt;",2023-06-22,2023-06-25
321,321,국문,전시일정," 제2전시장 4F홀",2023 국제보건미용EXPO,20230624 0900~20230624 1700,국제보건미용협회,2023-06-24,2023-06-24
322,322,국문,전시일정," 제1전시장  3B홀",부산 건축박람회/사인엑스포,20230629 0000~20230702 0000,(주)동아전람,2023-06-29,2023-07-02
323,323,국문,전시일정," 제1전시장  3A홀","부산 가구 엑스포 ",20230629 0000~20230702 0000,(주)동아전람,2023-06-29,2023-07-02
324,324,국문,전시일정," 제1전시장 2B홀",부산 문구·완구 및 사무용품·기프트 쇼/스포츠·레저 산업 박람회,20230629 0000~20230702 0000,(주)동아전람,2023-06-29,2023-07-02
325,325,국문,전시일정,"제1전시장 1~2A홀, 컨벤션홀",2023년 제5회 대한민국 사회적경제박람회 in 부산,20230630 0000~20230702 1800,"부산광역시, 사회적경제조직 8개단체 / 부산지역추진위원회, 한국사회적기업진흥원",2023-06-30,2023-07-02
326,326,국문,전시일정," 제2전시장 4(A-C)홀",2023 부산 반려동물 박람회,20230630 1000~20230702 1800,"㈜메세코리아 ",2023-06-30,2023-07-02
327,327,국문,전시일정," 제1전시장  3홀",2023 부산 브랜드페스타,20230707 1000~20230709 1700,"부산광역시, 부산CBS / 벡스코, 한국문화콘텐츠협회",2023-07-07,2023-07-09
328,328,국문,전시일정," 제1전시장  2B홀",대한민국 친환경 농특산품 및 중소기업 박람회,20230707 1000~20230711 1800,태한/부산MBC,2023-07-07,2023-07-11
329,329,국문,전시일정," 제1전시장  1홀",2023년 부산직업교육박람회,20230711 0000~20230713 0000,부산광역시교육청,2023-07-11,2023-07-13
330,330,국문,전시일정," 제1전시장  3홀",2023 제 35회 부산베이비&유아교육용품전,20230713 0000~20230716 0000,"(주)블루케이, (주)앤유",2023-07-13,2023-07-16
331,331,국문,전시일정," 제2전시장 4B홀",2023 부산MBC웨딩박람회 in 벡스코,20230714 0000~20230716 0000,부산문화방송(주),2023-07-14,2023-07-16
332,332,국문,전시일정," 제1전시장  2홀",2023 대입상담캠프,20230714 1000~20230715 1800,부산광역시교육청 학력개발원 진로진학지원센터,2023-07-14,2023-07-15
333,333,국문,전시일정," 제1전시장  3홀",K-핸드메이드&일러스트레이션페어 부산 2023,20230721 1100~20230723 1800,(주)한국국제전시,2023-07-21,2023-07-23
334,334,국문,전시일정," 제2전시장 5A홀",2023 일본유학박람회,20230805 1000~20230805 1800,독립행정법인 일본학생지원기구,2023-08-05,2023-08-05
335,335,국문,전시일정," 제1전시장  3B홀",레이카운티 공동구매 입주박람회,"20230812 1000~20230813 1800,1900",부경입주기획,2023-08-12,2023-08-13
336,336,국문,전시일정," 제2전시장 4A홀",렙타일페어,20230812 0000~20230813 0000,빅혼,2023-08-12,2023-08-13
337,337,국문,전시일정," 제1전시장  2A홀",우수중소기업 및 농특산품 선물 박람회,20230816 1000~20230820 1800,새벽전람 / 부산MBC,2023-08-16,2023-08-20
338,338,국문,전시일정," 제1전시장  3홀",2023 글로벌 헬스케어 위크,20230817 1000~20230819 1700,"부산광역시 / 벡스코, 부산테크노파크",2023-08-17,2023-08-19
339,339,국문,전시일정," 제1전시장  2B홀",2023 부산국제주류박람회,20230817 0000~20230820 0000,명진F&F,2023-08-17,2023-08-20
340,340,국문,전시일정," 제1전시장  1홀",부산인디커넥트페스티벌 2023,20230825 0000~20230827 0000,"부산정보산업진흥원, 인디라!, (사)한국모바일게임협회 / (사)부산인디커넥트페스티벌조직위원회",2023-08-25,2023-08-27
341,341,국문,전시일정," 제1전시장  3A홀",제17회 부산네일엑스포,20230825 0000~20230827 0000,(주)네일클럽/BINAIL 2023 조직위원회,2023-08-25,2023-08-27
342,342,국문,전시일정," 제2전시장 4B홀",BWC 부산 웨딩박람회,20230825 0000~20230827 0000,주식회사 비더블류씨,2023-08-25,2023-08-27
343,343,국문,전시일정," 제1전시장  2B홀",2023 라이프트렌드페어,20230825 1000~20230827 1800,(주)마루컨벤션,2023-08-25,2023-08-27
344,344,국문,전시일정," 제2전시장",2023  해양수산 취업박람회,20230830 1000~20230830 1700,해양수산부,2023-08-30,2023-08-30
345,345,국문,전시일정," 제1전시장  1홀, 2A홀",2023 국제환경에너지산업전,20230830 1000~20230901 1700,"부산광역시, 국제신문 / 벡스코, 투데이에너지, KOTRA",2023-08-30,2023-09-01
346,346,국문,전시일정," 제1전시장  3홀",제 20회 부산국제음식박람회,20230901 1000~20230903 1800,부산광역시 / (사)한국외식업중앙회부산광역시지회,2023-09-01,2023-09-03
347,347,국문,전시일정," 제1전시장  2B홀",2023 부산국제의료관광컨벤션,20230901 1000~20230902 1800,"부산광역시,부산일보사 / (사)부산권의료산업협의회",2023-09-01,2023-09-02
348,348,국문,전시일정," 제1전시장  1홀",2023 대한민국 해양안전 엑스포,20230904 1000~20230906 1800,"해양수산부, 부산광역시",2023-09-04,2023-09-06
349,349,국문,전시일정," 제1전시장 2B, 3A, 3B","2023 K-ICT WEEK in BUSAN (AI KOREA, CLOUD EXPO, IT EXPO)",20230906 1000~20230908 1700,"부산광역시, 과학기술정보통신부/부산정보산업진흥원, 정보통신산업진흥원, 벡스코, 디지틀조선일보",2023-09-06,2023-09-08
350,350,국문,전시일정," 제1전시장  2A홀",2023 제22회 하반기 카페위크 (부제:부산카페쇼),20230907 0000~20230910 0000,㈜블루케이,2023-09-07,2023-09-10
351,351,국문,전시일정,제2전시장 4A~4E홀,부산일러스트레이션페어V.4,20230907 1000~20230910 1800,오씨메이커스,2023-09-07,2023-09-10
352,352,국문,전시일정," 제1전시장  2홀",2023 인테리어디자인코리아 부산,20230914 1000~20230917 1800,(주)메쎄이상,2023-09-14,2023-09-17
353,353,국문,전시일정," 제1전시장  3홀",2023 부산코리아빌드,20230914 1000~20230917 1800,(주)메쎄이상,2023-09-14,2023-09-17
354,354,국문,전시일정," 제2전시장 4(A~B)홀",제34회 2023 부산창업박람회,20230914 0000~20230916 0000,선인커뮤니티 주식회사,2023-09-14,2023-09-16
355,355,국문,전시일정," 제1전시장  2B홀",2023 부산국제건축제,20230920 1000~20230924 1800,부산광역시 / (사)부산국제건축제조직위원회,2023-09-20,2023-09-24
356,356,국문,전시일정," 제1전시장  3홀",2023 부산 코베 베이비페어,20230921 1000~20230924 1800,(주)메쎄이상,2023-09-21,2023-09-24
357,357,국문,전시일정," 제1전시장  2A홀","2023 우수중소기업 및 농특산품 선물 박람회 ",20230922 1000~20230926 1800,새벽전람 / 부산MBC,2023-09-22,2023-09-26
358,358,국문,전시일정," 제2전시장 4(A~C)홀",2023 부산펫쇼,20230922 1000~20230924 1800,(주)KNN/(주)미래전람,2023-09-22,2023-09-24
359,359,국문,전시일정," 제2전시장 4(D~F)홀",2023 부산캣쇼,20230922 1000~20230924 1800,KNN/(주)미래전람,2023-09-22,2023-09-24
360,360,국문,전시일정," 제2전시장 4(B-F)홀",FLY ASIA 2023,20231005 0900~20231008 1800,부산광역시 / (재)부산테크노파크,2023-10-05,2023-10-08
361,361,국문,전시일정," 제1전시장  3홀",제24회 부산국제관광전,20231005 1000~20231008 1800,"부산광역시/부산광역시관광협회, (주)코트파",2023-10-05,2023-10-08
362,362,국문,전시일정," 제1전시장  1홀",2023 아시아콘텐츠&필름마켓,20231007 0000~20231010 0000,부산국제영화제 / 부산국제영화제,2023-10-07,2023-10-10
363,363,국문,전시일정," 제1전시장  2B, 3A홀",2023 패패부산,20231013 1000~20231015 1700,"부산광역시 / 부산테크노파크 신발패션진흥단, 한국산업용섬유협회, 부산섬유패션산업연합회, 부산패션섬유산업사업협동조합",2023-10-13,2023-10-15
364,364,국문,전시일정," 제2전시장 4F홀",2023 부산MBC웨딩박람회 in 벡스코,20231013 0000~20231015 0000,부산문화방송(주),2023-10-13,2023-10-15
365,365,국문,전시일정," 제2전시장 4(A~E)홀",2023 제12회 BFAA아트페어,20231013 0000~20231016 0000,사단법인 부산 미술협회/2023 BFAA아트페어 운영위원회,2023-10-13,2023-10-16
366,366,국문,전시일정," 제1전시장  1홀",2023 부산 의료기기 전시회 (KIMES BUSAN 2023),20231013 1000~20231015 1700,"한국이앤엑스, 한국의료기기공업협동조합, 한국의료기기산업협회, KNN",2023-10-13,2023-10-15
367,367,국문,전시일정," 제1전시장  2A홀",메디부산 2023 시민건강박람회,20231013 0000~20231015 0000,부산광역시/KNN,2023-10-13,2023-10-15
368,368,국문,전시일정," 제1전시장  2홀","2023 중소기업 기술,경영 혁신대전",20231017 1000~20231018 1700,"중소벤처기업부 / 이노비즈협회,메인비즈협회 / 참여: 중소벤처기업진흥공단,중소기업기술정보진흥원, 스마트제조혁신추진단,대한상공회의소,대중소기업농어업협력재단,기술보증기금,한국산학연협회",2023-10-17,2023-10-18
369,369,국문,전시일정," 제1전시장  3B홀",2023 지산학 엑스포,20231017 1000~20231019 1700,"부산광역시, 동반성장위원회 / 산학연협력서비스협동조합, 미래소재연구단",2023-10-17,2023-10-19
370,370,국문,전시일정," 제1전시장  1홀","2023 KB굿잡, 부산 잡(JOB) 페스티벌",20231018 1000~20231018 1700,"부산광역시, KB국민은행 / 부산경제진흥원 외",2023-10-18,2023-10-18
371,371,국문,전시일정," 제1전시장 1홀~제2전시장 4E홀",국제조선 및 해양산업전,20231024 1000~20231027 1700,"산업통상자원부, 부산광역시, 대한무역투자진흥공사, 한국조선해양플랜트협회, 한국조선해양기자재공업협동조합, 리드케이훼어스 유한회사, 벡스코",2023-10-24,2023-10-27
372,372,국문,전시일정," 제2전시장 5A홀",2023 부산 사이버보안 콘퍼런스,20231024 0900~20231025 1800,"부산광역시, 한국주택금융공사, 국가정보원 부산지부 / 한국정보보호학회, 영남권 정보보호영재교육원",2023-10-24,2023-10-25
373,373,국문,전시일정," 제2전시장 4(D-E)홀",2023 부산디지털혁신아카데미 JOB FAIR (BDIA 잡페어),20231031 1300~20231101 1800,부산광역시 / (재)부산정보산업진흥원,2023-10-31,2023-11-01
374,374,국문,전시일정," 제1전시장  1,2,3홀",2023 부산국제수산EXPO,20231101 1000~20231103 1700,"부산광역시/벡스코, 한국수산무역협회, 수협중앙회",2023-11-01,2023-11-03
375,375,국문,전시일정," 제1전시장  회의실 211-214호",KOFFST International Conference 2023,20231102 1200~20231102 1800,"한국수산과학총연합회 / 한국수산과학회, 한국어류학회, 한국어병학회, 한국수산해양기술학회, 한국패류학회",2023-11-02,2023-11-02
376,376,국문,전시일정," 제2전시장 4(D-E)홀",2023 부산 사회서비스 박람회,20231103 1300~20231104 1700,"부산광역시, 부산사회서비스원 / 부산사회서비스원",2023-11-03,2023-11-04
377,377,국문,전시일정," 제2전시장 4(A-F)홀",인베스트코리아써밋 2023,20231106 0000~20231108 0000,,2023-11-06,2023-11-08
378,378,국문,전시일정," 제1전시장  3B홀",2023 부산금융주간,20231109 1000~20231111 1700,"부산광역시 / 벡스코, 한국거래소, 글로벌핀테크산업진흥센터, 부산국제금융진흥원, 금융투자협회",2023-11-09,2023-11-11
379,379,국문,전시일정," 제1전시장  회의실 217-218호",2023 부산금융주간 개막식장,20231109 0900~20231109 1200,벡스코,2023-11-09,2023-11-09
380,380,국문,전시일정,옥외전시장,2023 통영수산식품대전,20231109 1000~20231111 1700,통영시 / (주)KNN,2023-11-09,2023-11-11
381,381,국문,전시일정,벡스코 전관,국제게임전시회 지스타 2023,20231116 1000~20231119 1800,"한국게임산업협회 / 지스타조직위원회, 부산정보산업진흥원",2023-11-16,2023-11-19
382,382,국문,전시일정," 제1전시장  1홀",2023 부산국제식품박람회,20231123 1000~20231126 1800,(주)메세코리아,2023-11-23,2023-11-26
383,383,국문,전시일정," 제1전시장  1홀","2023 부산 유기농,친환경,귀농귀촌 박람회",20231123 1000~20231126 1800,(주)메세코리아,2023-11-23,2023-11-26
384,384,국문,전시일정," 제2전시장 4(B-E)홀",2023 대한민국 정부 박람회,20231123 1000~20231125 1700,행정안전부 / 대통령직속 디지털플랫폼정부위원회,2023-11-23,2023-11-25
385,385,국문,전시일정," 제1전시장  2B홀",2023부산홈리빙&생활용품전시회(하),20231123 1000~20231126 1800,(주)메세코리아,2023-11-23,2023-11-26
386,386,국문,전시일정," 제1전시장  3B홀",2023 KFA 프랜차이즈 창업박람회 부산,20231123 1000~20231125 1700,사단법인 한국프랜차이즈산업협회 부산울산경남지회,2023-11-23,2023-11-25
387,387,국문,전시일정," 제2전시장 4A홀",제20회 더골프쇼 in 부산 Autumn,20231123 1000~20231126 1800,(주)이엑스스포테인먼트,2023-11-23,2023-11-26
388,388,국문,전시일정," 제1전시장  2A홀",2023 부산 차.공예 박람회,20231123 1000~20231126 1800,메세코리아,2023-11-23,2023-11-26
389,389,국문,전시일정," 제2전시장 4F홀",KNN 부산 웨딩박람회,20231124 0000~20231126 0000,더리본 주식회사,2023-11-24,2023-11-26
390,390,국문,전시일정," 제1전시장  2홀",2023 일학습병행 체험 박람회(경상권),20231128 1300~20231128 1700,"한국산업인력공단 / 고용부, 교육부, 부산광역시청, 부산시교육청 등 (변동예정)",2023-11-28,2023-11-28
391,391,국문,전시일정," 제2전시장 1층 4A홀, 3층 5A홀",제3회 지자체-대학 협력기반 지역혁신사업 성과포럼,20231128 0000~20231129 0000,"교육부,한국연구재단 / 지자체-대학협력기반 지역혁신사업발전협의회",2023-11-28,2023-11-29
392,392,국문,전시일정," 제2전시장 4(B-D)홀",2023 내일을 품은 부산 교육한마당,20231128 0000~20231129 0000,부산광역시교육청,2023-11-28,2023-11-29
393,393,국문,전시일정," 제1전시장  3B홀",제2회 호텔&레스토랑산업전,20231130 1000~20231202 1800,"벡스코, 에이치알(호텔앤레스토랑)",2023-11-30,2023-12-02
394,394,국문,전시일정," 제1전시장  3A홀",반다이남코코리아 FUN EXPO 2023,20231201 1000~20231203 1800,반다이남코코리아,2023-12-01,2023-12-03
395,395,국문,전시일정," 제1전시장  2홀",2023 부산국제주류&와인박람회,20231201 1100~20231203 1900,(주)한국국제전시,2023-12-01,2023-12-03
396,396,국문,전시일정," 제2전시장 4F홀",렙타일페어12 부산,20231202 0000~20231203 0000,빅혼,2023-12-02,2023-12-03
397,397,국문,전시일정," 제2전시장 4(C-F)홀",2023 부산국제아트페어,20231207 1000~20231211 1900,"사단법인 케이아트국제교류협회/케이아트, 2023 부산국제아트페어 운영위원회 ",2023-12-07,2023-12-11
398,398,국문,전시일정," 제1전시장  3홀",2023 부산국제임신출산육아박람회(드림베이비페어) 하반기,20231207 1000~20231210 1800,㈜드림코리아,2023-12-07,2023-12-10
399,399,국문,전시일정," 제2전시장 4A,B홀",2023 부산 반려동물 박람회(하),20231208 1000~20231210 1800,(주)메세코리아,2023-12-08,2023-12-10
400,400,국문,전시일정," 제1전시장  2B,3A홀",어반브레이크 엑스,20231214 0000~20231217 0000,"어반브레이크 조직위 / 어반브레이크 운영위, 어반컴플렉스",2023-12-14,2023-12-17
401,401,국문,전시일정," 제2전시장 4B홀",BWC 부산 웨딩박람회,20231215 0000~20231217 0000,주식회사 비더블류씨,2023-12-15,2023-12-17
402,402,국문,전시일정," 제1전시장  3B홀",2023 부산 핸드메이드페어 윈터,20231215 1000~20231217 1800,(주)마루컨벤션,2023-12-15,2023-12-17
403,403,국문,전시일정," 제1전시장  2A홀",2023 우수중소기업 및 농특산품 선물 박람회,20231222 1000~20231226 1800,새벽전람 / 부산MBC,2023-12-22,2023-12-26
404,404,국문,전시일정," 제2전시장 4B홀",2024 부산MBC웨딩박람회 in 벡스코,20240112 0000~20240114 0000,(주) 부산문화방송,2024-01-12,2024-01-14
405,405,국문,전시일정," 제1전시장 1,2A홀",2024 한국허벌라이프 스펙타큘라,20240119 0900~20240121 1800,(주)한국허벌라이프,2024-01-19,2024-01-21
406,406,국문,전시일정," 제1전시장  3홀",2024 제36회 부산 베이비&육아교육용품전,20240125 1000~20240128 1800,"(주)블루케이, (주)앤유",2024-01-25,2024-01-28
407,407,국문,전시일정," 제1전시장  2B홀",우수중소기업 및 농특산품 선물 박람회,20240126 1000~20240130 1800,새벽전람 / 부산 MBC,2024-01-26,2024-01-30
408,408,국문,전시일정," 제2전시장 4B홀",BWC 부산 웨딩박람회,20240216 0000~20240218 0000,주식회사 비더블류씨,2024-02-16,2024-02-18
409,409,국문,전시일정," 제2전시장 4B홀",제1회 친환경 · 스마트 조선해양산업 잡페스타,20240229 1000~20240229 1700,"교육부, 부산광역시 / 부산조선해양기자재공업협동조합, 부산지역혁신플랫폼 친환경ㆍ스마트선박사업단     ",2024-02-29,2024-02-29
410,410,국문,전시일정," 제2전시장 4B홀",렙타일페어,20240302 0000~20240303 0000,빅혼,2024-03-02,2024-03-03
411,411,국문,전시일정," 제1전시장  1홀~3A홀",2024 드론쇼코리아,20240306 1000~20240308 1700,"산업통상자원부, 과학기술정보통신부, 국토교통부, 국방부, 부산광역시 /벡스코, 한국무인기시스템협회",2024-03-06,2024-03-08
412,412,국문,전시일정," 제1전시장  3B홀",제4회 제일창업박람회 in 부산,20240307 1000~20240309 1700,제일창업경제신문 / (주)제일좋은전람,2024-03-07,2024-03-09
413,413,국문,전시일정," 제1전시장  2홀",2024 부산 카페쇼,20240314 1000~20240317 1800,(주)블루케이,2024-03-14,2024-03-17
414,414,국문,전시일정," 제1전시장  1홀",2024 부산 베이비페어,20240314 1000~20240317 1800,(주)메세코리아,2024-03-14,2024-03-17
415,415,국문,전시일정," 제2전시장 4B홀",부산 결혼&출산장려협회 부산웨딩박람회 in 벡스코,20240315 0000~20240317 2000,부산결혼&출산장려협회/BWB,2024-03-15,2024-03-17
416,416,국문,전시일정," 제1전시장  2B홀",2024년 세븐일레븐 상품전시회,20240321 0000~20240322 0000,(주)코리아세븐,2024-03-21,2024-03-22
417,417,국문,전시일정," 제2전시장 4(A-B)홀",제21회 더골프쇼 in 부산 Spring,20240321 1000~20240324 1800,(주)이엑스스포테인먼트,2024-03-21,2024-03-24
418,418,국문,전시일정," 제1전시장  3홀",2024 부산 캠핑&레저차량 박람회,20240322 1000~20240324 1800,(주)제이엠컴퍼니,2024-03-22,2024-03-24
419,419,국문,전시일정," 제1전시장  3B홀",제6회부산국제용접및판금.레이저설비산업전시회 + 제12회국제금속가공및공업로.열처리설지산업전시회,20240327 1000~20240329 1700," 메탈넷코리아(월간 금속&용접저널)",2024-03-27,2024-03-29
420,420,국문,전시일정," 제1전시장  1홀",제10회 대한민국 대표 특산물 직거래 박람회,20240328 1000~20240331 1800,대한민국 대표 특산물 직거래 박람회 조직위원회 / (주)한국전시산업원,2024-03-28,2024-03-31
421,421,국문,전시일정," 제1전시장  3A홀",2024 부산 건축 인테리어 전시회(상),20240328 1000~20240331 1800,부산MBC / (주)메세코리아,2024-03-28,2024-03-31
422,422,국문,전시일정," 제2전시장 4C홀~4F홀","BDEX 2024 ""부산 치의학 전시회 및 국제학술대회""",20240330 0900~20240331 1800,부산시치과의사회,2024-03-30,2024-03-31
423,423,국문,전시일정," 제1전시장  3홀",궁디팡팡 캣페스타,20240405 1000~20240407 1800,(주)캣페스타,2024-04-05,2024-04-07
424,424,국문,전시일정," 제2전시장 4(A-C)홀",2024 SCF 서브컬쳐 페스티벌,20240406 0000~20240407 0000,주식회사 뮤즐리 / SCG,2024-04-06,2024-04-07
425,425,국문,전시일정," 제1전시장 2,3홀",2024 BAMA 제13회 부산국제화랑아트페어,20240411 0000~20240414 0000,"(사)부산화랑협회, 2024 BAMA 조직위원회 / (사)부산화랑협회, 2024 BAMA 운영위원회",2024-04-11,2024-04-14
426,426,국문,전시일정," 제2전시장 4F홀",KNN웨딩박람회,20240412 0000~20240414 0000,(주)더리본 주식회사,2024-04-12,2024-04-14
427,427,국문,전시일정," 제1전시장  1홀",제23회 부산과학축전,20240413 1000~20240414 1800,"부산광역시, 부산광역시 교육청 / 부산과학기술협의회, 부산광역시교육청 창의융합교육원",2024-04-13,2024-04-14
428,428,국문,전시일정," 제1전시장 회의실 216-218호",2024 부산국제보트쇼 VIP대기실 및 부대행사,20240419 0900~20240419 1800,"해양수산부,부산광역시/벡스코",2024-04-19,2024-04-19
429,429,국문,전시일정,벡스코 제1전시장 & 해상전시장	,2024 부산국제보트쇼,20240419 1000~20240421 1800,"해양수산부, 부산광역시 / 한국해양레저네트워크, 벡스코, 해양레저장비산업협회",2024-04-19,2024-04-21
430,430,국문,전시일정," 제1전시장  3B홀",우수중소기업 및 농특산품 선물 박람회,20240419 1000~20240423 1800,(주)새벽전람,2024-04-19,2024-04-23
431,431,국문,전시일정," 제1전시장 1홀",2024 부산국제원자력에너지산업전,20240424 0000~20240426 0000,"부산광역시, 한국원자력산업협회/벡스코",2024-04-24,2024-04-26
432,432,국문,전시일정," 제1전시장  2B홀",2024 부산 홈리빙&생활용품전시회(상),20240425 1000~20240428 1800,(주)메세코리아,2024-04-25,2024-04-28
433,433,국문,전시일정," 제1전시장  2A홀",제35회 2024 부산 창업박람회,20240425 1000~20240427 1700,선인커뮤니티 주식회사,2024-04-25,2024-04-27
434,434,국문,전시일정," 제1전시장  3홀",제4회 대한민국 대표 축제 박람회,20240426 1000~20240428 1800,(사)한국지방신문협회 / (주)한국전시산업원,2024-04-26,2024-04-28
435,435,국문,전시일정," 제2전시장 4홀",2024 대한민국 펫산업박람회(케이펫페어 부산),20240426 0000~20240428 0000,(사)한국펫사료협회 / 주식회사 메쎄이상,2024-04-26,2024-04-28
436,436,국문,전시일정," 제1전시장  1홀, 2홀",2024 월드오브커피 & 월드바리스타챔피언십  부산,20240501 1000~20240504 1700,"부산광역시, Specialty Coffee Association(SCA)  /  엑스포럼",2024-05-01,2024-05-04
437,437,국문,전시일정," 제1전시장  3홀",2024 제34회 부산드림베이비페어,20240502 1000~20240505 1800,(주)드림코리아,2024-05-02,2024-05-05
438,438,국문,전시일정," 제1전시장 1-3A홀",아트부산 2024,20240509 0000~20240512 0000,(사)아트쇼부산 / ㈜아트부산,2024-05-09,2024-05-12
439,439,국문,전시일정," 제1전시장  2홀",2024 글로벌헬스케어위크,20240516 1000~20240518 1700,"부산광역시/벡스코, 부산테크노파크, 부산일보, KOTRA",2024-05-16,2024-05-18
440,440,국문,전시일정," 제1전시장 회의실 314-315호",2024 글로벌 헬스케어 유공자 시상식,20240516 1330~20240516 1500,"부산광역시/벡스코, 부산테크노파크,  부산일보, KOTRA",2024-05-16,2024-05-16
441,441,국문,전시일정," 제1전시장  3홀 및 회의실 등",부산콘텐츠마켓 2024,20240522 0900~20240524 1800,사단법인부산콘텐츠마켓조직위원회,2024-05-22,2024-05-24
442,442,국문,전시일정," 제1전시장  1홀",제31회 부산국제식품대전,20240529 1000~20240601 1700,한국산업마케팅연구원,2024-05-29,2024-06-01
443,443,국문,전시일정," 제1전시장 2홀",제14회 부산커피쇼,20240529 1000~20240601 1700,"한국산업마케팅연구원,(사)한국커피연합회",2024-05-29,2024-06-01
444,444,국문,전시일정," 제1전시장  3홀",2024 부산 홈·테이블데코페어,20240530 1000~20240602 1700,"KNN, 리드케이훼어스, 까사리빙",2024-05-30,2024-06-02
445,445,국문,전시일정,제1전시장  1홀,제5회 부산 가구 엑스포,20240606 1000~20240609 1800,(주)동아전람,2024-06-06,2024-06-09
446,446,국문,전시일정,제1전시장  1홀,제8회 부산 스포츠·레저·골프산업 박람회,20240606 1000~20240609 1800,(주)동아전람,2024-06-06,2024-06-09
447,447,국문,전시일정,제1전시장  2A홀,2024 부산 툴쇼(공구전),20240606 1000~20240609 1800,(주)동아전람,2024-06-06,2024-06-09
448,448,국문,전시일정," 제1전시장  1홀",제5회 부산 기프트 쇼,20240606 1000~20240609 1800,(주)동아전람,2024-06-06,2024-06-09
449,449,국문,전시일정," 제1전시장  2A홀",제8회 부산 건축박람회,20240606 1000~20240609 1800,(주)동아전람,2024-06-06,2024-06-09
450,450,국문,전시일정," 제1전시장  2B홀",2024 부산 차·공예 박람회(상),20240613 1000~20240616 1800,(주)메세코리아,2024-06-13,2024-06-16
