id,raw_no,lang,category,venue,event_name,period_raw,host_organizer,start_date,end_date
182,182,국문,전시일정,제1전시장 3홀,2022 부산디자인위크,20220609 1030~20220612 1800,"디자인하우스, KNN, 부산디자인진흥원",2022-06-09,2022-06-12
183,183,국문,전시일정,제2전시장 4A~E홀,2022 코리아캠핑카쇼,20220609 1000~20220612 1800,한국레저자동차산업협회/벡스코,2022-06-09,2022-06-12
184,184,국문,전시일정,제1전시장 3A홀,2022 부산국제차.공예박람회(상),20220616 1000~20220619 1800,㈜메세코리아,2022-06-16,2022-06-19
185,185,국문,전시일정,제1전시장 2B홀,부산 건축박람회&사인엑스포,20220616 1000~20220619 1800,(주)동아전람,2022-06-16,2022-06-19
186,186,국문,전시일정,제1전시장 1홀,"부산 기프트쇼&스포츠,레저산업 박람회",20220616 1000~20220619 1800,(주)동아전람,2022-06-16,2022-06-19
187,187,국문,전시일정,제1전시장 2A홀,부산 가구엑스포,20220616 1000~20220619 1800,(주)동아전람,2022-06-16,2022-06-19
188,188,국문,전시일정,제 2 전시장 4B홀,BWC 부산 웨딩박람회,20220617 0000~20220619 0000,주식회사 비더블류씨,2022-06-17,2022-06-19
189,189,국문,전시일정,제1전시장 3홀,부산국제임신출산육아박람회(드림베이비페어),20220623 1000~20220626 1800,드림코리아,2022-06-23,2022-06-26
190,190,국문,전시일정,제1전시장 2홀,K-핸드메이드&일러스트레이션페어 부산 2022,20220624 1100~20220626 1900,㈜한국국제전시,2022-06-24,2022-06-26
191,191,국문,전시일정,제1전시장 1홀,2022 부산브랜드페스타,20220624 1000~20220626 1800,"부산광역시, 부산CBS / 벡스코",2022-06-24,2022-06-26
192,192,국문,전시일정,제 2전시장 4A홀,제48회 대한민국웨딩산업박람회,20220628 1000~20220628 1700,이주/(사)한국웨딩산업인협회,2022-06-28,2022-06-28
193,193,국문,전시일정,제1전시장 1홀,2022 제29회 부산국제식품대전,20220629 1000~20220702 1700,한국식품안전관리인증원 / (주)한국산업마케팅연구원,2022-06-29,2022-07-02
194,194,국문,전시일정,제1전시장 2홀,2022 제12회 부산커피쇼,20220629 1000~20220702 1700,(사)한국커피연합회 / (주)한국산업마케팅연구원,2022-06-29,2022-07-02
195,195,국문,전시일정,제1전시장 3홀,2022 부산 홈·테이블데코페어,20220630 1000~20220703 1800,리드케이훼어스(유),2022-06-30,2022-07-03
196,196,국문,전시일정,제2전시장 4(A-B)홀,2022 부산 반려동물 박람회(상),20220701 0000~20220703 0000,(주)메세코리아,2022-07-01,2022-07-03
197,197,국문,전시일정,BEXCO 제1전시장 전체 및 제2전시장 1층	,2022 부산국제모터쇼,20220715 1000~20220724 1800,"부산광역시/벡스코, 한국자동차산업협회, 한국수입자동차협회, 한국자동차산업협동조합",2022-07-15,2022-07-24
198,198,국문,전시일정,제1전시장 2홀,2022 제 33회 부산유아교육용품전,20220804 1000~20220807 1800,"(주)블루케이,(주)앤유",2022-08-04,2022-08-07
199,199,국문,전시일정,제1전시장 3홀,제4회 대한민국 1인 미디어 대전,20220805 0000~20220806 0000,과학기술정보통신부 / 한국전파진흥협회,2022-08-05,2022-08-06
200,200,국문,전시일정,옥외전시장,2022 나이트레이스 인 부산,20220806 0000~20220806 0000,KNN,2022-08-06,2022-08-06
201,201,국문,전시일정,제1전시장 3B홀,K-메타버스 엑스포 부산,20220818 1000~20220820 1700,에코마이스(주),2022-08-18,2022-08-20
202,202,국문,전시일정,제1전시장 1~2홀,캠피크페어 in 부산,20220819 1000~20220821 1800,주식회사 이에스기획,2022-08-19,2022-08-21
203,203,국문,전시일정,제 1전시장 3A홀	,2022 라이프트렌드페어,20220819 1000~20220821 1800,㈜마루컨벤션,2022-08-19,2022-08-21
204,204,국문,전시일정,제 2 전시장 4F홀,혁신제품 권역별 순회 전시회,20220824 1000~20220825 1700,"조달청, 기획재정부 /(재)한국조달연구원, 기술마켓",2022-08-24,2022-08-25
205,205,국문,전시일정,제1전시장 1홀,2022 글로벌 헬스케어 위크,20220825 1000~20220827 1800,"부산광역시 / 벡스코, 부산테크노파크",2022-08-25,2022-08-27
206,206,국문,전시일정,제1전시장 3B홀,부산네일엑스포(BINAIL2022),20220826 1000~20220828 0000,(주)네일클럽,2022-08-26,2022-08-28
207,207,국문,전시일정,제1전시장 2B홀,추석맞이 우수중소기업 및 농특산품 선물박람회,20220826 1000~20220830 1800,"새벽전람 (후원) 국제신문, 부산MBC",2022-08-26,2022-08-30
208,208,국문,전시일정,제 2 전시장 4F홀,2022 BWC 부산웨딩박람회,20220826 0000~20220828 0000,주식회사 비더블류씨,2022-08-26,2022-08-28
209,209,국문,전시일정,제 1전시장 3B홀,2022 부울경 일자리박람회,20220830 1000~20220830 1700,"부산광역시, 울산광역시, 경상남도, 부산지방고용노동청,  부울경 지방중소벤처기업청,  BNK부산은행",2022-08-30,2022-08-30
210,210,국문,전시일정,제1전시장 1~2A홀 및 옥외전시장,2022 국제환경에너지산업전,20220831 1000~20220902 1700,"부산광역시, 국제신문 / BEXCO",2022-08-31,2022-09-02
211,211,국문,전시일정,제2전시장 4(A-D)홀,11회 서울국제조각페스타 2022 (부산 BEXCO),20220901 0000~20220905 0000,사단법인 한국조각가협회 / 국제조각페스타 운영위원회,2022-09-01,2022-09-05
212,212,국문,전시일정,제1전시장 2B홀,2022 부산카페쇼 하반기,20220901 0000~20220904 0000,(주)블루케이,2022-09-01,2022-09-04
213,213,국문,전시일정,제1전시장 1홀,2022 부산리빙앤라이프스타일,20220915 1000~20220918 1800,(주)메쎄이상,2022-09-15,2022-09-18
214,214,국문,전시일정,"제 1전시장 2A, 2B홀",2022 부산코리아빌드,20220915 1000~20220918 1800,(주)메쎄이상,2022-09-15,2022-09-18
215,215,국문,전시일정,제2전시장 4E~4F홀,2022 오프라인 해양수산 취업박람회,20220916 1000~20220916 1700,"해양수산부, 대한민국 해군",2022-09-16,2022-09-16
216,216,국문,전시일정,제2전시장 4D홀,오션파라곤 공동구매 초대전,20220917 0900~20220918 1800,크린탑 홈케어,2022-09-17,2022-09-18
217,217,국문,전시일정,제 1전시장 3홀,2022 부산베이비&키즈페어[부베키],20220922 1000~20220925 1800,(주)한국국제전시,2022-09-22,2022-09-25
218,218,국문,전시일정,제2전시장 4(A-C)홀,제32회 2022부산창업박람회,20220922 1000~20220924 1700,선인커뮤니티㈜,2022-09-22,2022-09-24
219,219,국문,전시일정,제2전시장 4(A~E)홀,"2022 AI KOREA ",20220928 1000~20220930 1800,"부산광역시 /부산정보산업진흥원, 벡스코",2022-09-28,2022-09-30
220,220,국문,전시일정,제1전시장 3B홀,부산일러스트레이션페어 vol.3,20220929 1000~20221002 1800,"오씨메이커스, 벡스코",2022-09-29,2022-10-02
221,221,국문,전시일정,제 1전시장 2B홀,2022 부산 월드뷰티 EXPO,20220930 1000~20221002 1800,(사)부산광역시직능연합회,2022-09-30,2022-10-02
222,222,국문,전시일정,제1전시장 3A홀,2022 부산국제의료관광컨벤션,20220930 1000~20221001 1800,"부산광역시,부산일보사",2022-09-30,2022-10-01
223,223,국문,전시일정,제 2 전시장 4B홀,2022 부울경 잡페스티벌,20221006 1300~20221007 1700,"고용노동부 부산지방고용노동청,  국가보훈처, (재)부산경제진흥원 외",2022-10-06,2022-10-07
224,224,국문,전시일정,제 2 전시장 4(C-F)홀,2022 아시아콘텐츠&필름마켓,20221008 0000~20221011 0000,부산국제영화제,2022-10-08,2022-10-11
225,225,국문,전시일정,제1전시장 1~2A홀,2022 국제 그린 해양 플랜트 전시회,20221012 1000~20221014 1700,"산업통상자원부, 부산광역시 / 부산조선해양기자재공업협동조합, 벡스코, 경연전람, 코트라",2022-10-12,2022-10-14
226,226,국문,전시일정,제 1전시장 3홀,"제24회 부산국제관광전 ",20221013 0000~20221016 0000,"부산광역시/부산광역시관광협회,(주)코트파",2022-10-13,2022-10-16
227,227,국문,전시일정,제2전시장 4F홀,2022 부산MBC웨딩박람회 in 벡스코,20221014 0000~20221016 0000,(주)부산문화방송,2022-10-14,2022-10-16
228,228,국문,전시일정,제 2전시장 4(A~E)홀,2022 제11회 BFAA 국제아트페어,20221014 0000~20221017 0000,사단법인 부산미술협회/ 2022 BFAA 국제아트페어 운영위원회,2022-10-14,2022-10-17
229,229,국문,전시일정,제1전시장 2B홀,"2022 부산평화통일박람회 ",20221015 1000~20221015 1800,"부산광역시, 통일부",2022-10-15,2022-10-15
230,230,국문,전시일정,제1회의실 311-313호,해양수산 공학-바이오 기술설명회,20221020 0000~20221020 0000,,2022-10-20,2022-10-20
231,231,국문,전시일정,제1전시장 3B홀,2022 한·아세안패션위크,20221020 0900~20221021 2100,부산광역시/(재)부산디자인진흥원,2022-10-20,2022-10-21
232,232,국문,전시일정,제1전시장 2~3A홀,2022 패패부산 (부산국제신발섬유패션전),20221020 1000~20221022 1700,"부산광역시 / 벡스코, 부산경제진흥원 신발산업진흥센터, 한국산업용섬유협회, 부산섬유패션산업연합회, 부산패션섬유사업협동조합 ",2022-10-20,2022-10-22
