id,title,genre,location,seats,region,t_d,s_y,s_m,s_d,e_y,e_m,e_d
1452,포레스텔라 콘서트: THE WAVE [대구],대중음악,엑스코(exco),4000,대구,포레스텔라 콘서트: THE WAVE [대구]|2025-08-23,2025,8,23,2025,8,24
1453,포레스텔라 콘서트: THE WAVE [부산],대중음악,벡스코 (BEXCO),4002,부산,포레스텔라 콘서트: THE WAVE [부산]|2025-08-09,2025,8,9,2025,8,10
1454,그룹사운드 잔나비 앵콜 콘서트: 모든소년소녀들 2125 [서울 (앵콜) ],대중음악,올림픽공원,15000,서울,그룹사운드 잔나비 앵콜 콘서트: 모든소년소녀들 2125 [서울 (앵콜) ]|2025-08-02,2025,8,2,2025,8,3
1455,fromis_9 WORLD TOUR: NOW TOMORROW. [서울],대중음악,장충체육관,4507,서울,fromis_9 WORLD TOUR: NOW TOMORROW. [서울]|2025-08-09,2025,8,9,2025,8,10
1456,현역가왕2 전국투어 콘서트 [구미],대중음악,박정희체육관,6273,경북,현역가왕2 전국투어 콘서트 [구미]|2025-08-30,2025,8,30,2025,8,30
1457,THE BOYZ: THE BLAZE WORLD TOUR [서울],대중음악,올림픽공원,15000,서울,THE BOYZ: THE BLAZE WORLD TOUR [서울]|2025-08-08,2025,8,8,2025,8,10
1458,"ONEW WORLD TOUR, ONEW THE LIVE: PERCENT (%) [서울]",대중음악,올림픽공원,5003,서울,"ONEW WORLD TOUR, ONEW THE LIVE: PERCENT (%) [서울]|2025-08-02",2025,8,2,2025,8,3
1459,10CM 단독공연: 5.0,대중음악,올림픽공원,5003,서울,10CM 단독공연: 5.0|2025-08-09,2025,8,9,2025,8,10
1460,HOSHI X WOOZI FAN CONCERT: WARNING [광주],대중음악,광주여자대학교,8337,광주,HOSHI X WOOZI FAN CONCERT: WARNING [광주]|2025-08-23,2025,8,23,2025,8,24
1461,YE LIVE IN KOREA,대중음악,인천문학경기장,49084,인천,YE LIVE IN KOREA|2025-07-26,2025,7,26,2025,7,26
1462,"aespa LIVE TOUR, SYNK: aeXIS LINE",대중음악,올림픽공원,15000,서울,"aespa LIVE TOUR, SYNK: aeXIS LINE|2025-08-29",2025,8,29,2025,8,31
1463,영탁 단독 콘서트: TAK SHOW4 [서울],대중음악,잠실종합운동장,11032,서울,영탁 단독 콘서트: TAK SHOW4 [서울]|2025-08-08,2025,8,8,2025,8,10
1464,TWICE WORLD TOUR: THIS IS FOR [인천],대중음악,인스파이어,14483,인천,TWICE WORLD TOUR: THIS IS FOR [인천]|2025-07-19,2025,7,19,2025,7,20
1465,벤 & 조째즈 콘서트 [부산],대중음악,벡스코 (BEXCO),4002,부산,벤 & 조째즈 콘서트 [부산]|2025-07-20,2025,7,20,2025,7,20
1466,SUPER JUNIOR 20th Anniversary TOUR: SUPER SHOW 10 [서울],대중음악,올림픽공원,15000,서울,SUPER JUNIOR 20th Anniversary TOUR: SUPER SHOW 10 [서울]|2025-08-23,2025,8,23,2025,8,24
1467,Xdinary Heroes Summer Special: The Xcape,대중음악,올림픽공원,5003,서울,Xdinary Heroes Summer Special: The Xcape|2025-07-04,2025,7,4,2025,7,6
