id,title,genre,location,seats,region,t_d,s_y,s_m,s_d,e_y,e_m,e_d
1,시크릿쥬쥬:  레인보우콘서트 [부산],뮤지컬,벡스코 (BEXCO),4002,부산,시크릿쥬쥬:  레인보우콘서트 [부산]|2015-10-08,2015,10,8,2015,10,8
2,슈퍼콘서트: 토요일을 즐겨라 [서울(앵콜)],대중음악,서울월드컵경기장,66704,서울,슈퍼콘서트: 토요일을 즐겨라 [서울(앵콜)]|2015-09-19,2015,9,19,2015,9,19
3,아이스 매직 페스티벌: 디즈니 온 아이스,복합,목동 아이스링크,5000,서울,아이스 매직 페스티벌: 디즈니 온 아이스|2015-10-14,2015,10,14,2015,10,25
4,언프리티 랩스타 콘서트 [대구],대중음악,엑스코(exco),9000,대구,언프리티 랩스타 콘서트 [대구]|2015-05-30,2015,5,30,2015,5,30
5,슈퍼콘서트 : 토요일을 즐겨라! [대구],대중음악,대구스타디움,66422,대구,슈퍼콘서트 : 토요일을 즐겨라! [대구]|2015-07-18,2015,7,18,2015,7,18
6,이승환 콘서트 : 공연의 기원：ORIGIN [대구],대중음악,엑스코(exco),9000,대구,이승환 콘서트 : 공연의 기원：ORIGIN [대구]|2015-12-31,2015,12,31,2015,12,31
7,박진영 나쁜파티: STRIP [대구],대중음악,엑스코(exco),9000,대구,박진영 나쁜파티: STRIP [대구]|2015-12-20,2015,12,20,2015,12,20
8,쿨 20주년 기념 콘서트: 안녕들 한가요? [부천],대중음악,부천실내체육관,5403,경기,쿨 20주년 기념 콘서트: 안녕들 한가요? [부천]|2015-01-17,2015,1,17,2015,1,17
9,볼쇼이 온 아이스,뮤지컬,목동 아이스링크,5000,서울,볼쇼이 온 아이스|2015-04-28,2015,4,28,2015,5,24
10,나는 독도다,무용(서양/한국무용),경희대학교 평화의전당,4500,서울,나는 독도다|2015-05-16,2015,5,16,2015,5,16
11,슈퍼콘서트 : 토요일을 즐겨라! [부산],대중음악,부산아시아드 경기장,53769,부산,슈퍼콘서트 : 토요일을 즐겨라! [부산]|2015-05-30,2015,5,30,2015,5,30
12,god 콘서트 [부산],대중음악,벡스코 (BEXCO),18000,부산,god 콘서트 [부산]|2015-12-30,2015,12,30,2015,12,31
13,YB 20주년 콘서트 : 스무살 [부산],대중음악,벡스코 (BEXCO),4002,부산,YB 20주년 콘서트 : 스무살 [부산]|2015-12-24,2015,12,24,2015,12,24
14,박진영 나쁜파티 : STRIP [부산],대중음악,벡스코 (BEXCO),18000,부산,박진영 나쁜파티 : STRIP [부산]|2015-12-19,2015,12,19,2015,12,19
15,"박정현＋플라이투더스카이 콘서XM : 그 해, 겨울",대중음악,벡스코 (BEXCO),18000,부산,"박정현＋플라이투더스카이 콘서XM : 그 해, 겨울|2015-12-26",2015,12,26,2015,12,26
16,DJ.DOC 대중음악탕 : 싸우나 파티 [부산],대중음악,부산사직실내체육관,14099,부산,DJ.DOC 대중음악탕 : 싸우나 파티 [부산]|2015-12-24,2015,12,24,2015,12,24
17,번개맨과 비밀의 문,뮤지컬,벡스코 (BEXCO),4002,부산,번개맨과 비밀의 문|2015-10-24,2015,10,24,2015,10,25
18,더 블루: Hyper Facade Fantastic Show,뮤지컬,신세계 영랑호 리조트 [속초],4000,강원,더 블루: Hyper Facade Fantastic Show|2015-07-18,2015,7,18,2015,8,23
19,"사색동화(4色同化) 콘서트 with 김태우, 마마무, 김연지, 빅브레인",대중음악,경희대학교 평화의전당,4500,서울,"사색동화(4色同化) 콘서트 with 김태우, 마마무, 김연지, 빅브레인|2016-10-15",2016,10,15,2016,10,16
20,"만9,900원의 행복콘서트 [서울]",대중음악,경희대학교 평화의전당,4500,서울,"만9,900원의 행복콘서트 [서울]|2016-12-17",2016,12,17,2016,12,18
21,터보 콘서트: AGAIN [부산],대중음악,벡스코 (BEXCO),18000,부산,터보 콘서트: AGAIN [부산]|2016-04-02,2016,4,2,2016,4,2
22,장윤정콘서트 [부천],대중음악,부천실내체육관,5403,경기,장윤정콘서트 [부천]|2016-03-26,2016,3,26,2016,3,26
23,비틀즈 링고스타 And His All Starr Band 내한공연,대중음악,잠실종합운동장,11032,서울,비틀즈 링고스타 And His All Starr Band 내한공연|2016-11-05,2016,11,5,2016,11,5
24,프란츠 하라리 내한공연: GRAND ILLUSION,서커스/마술,장충체육관,4507,서울,프란츠 하라리 내한공연: GRAND ILLUSION|2016-04-15,2016,4,15,2016,4,27
25,이승철 데뷔 30주년 기념 콘서트: 무궁화 삼천리 [울산],대중음악,울산동천체육관,5831,울산,이승철 데뷔 30주년 기념 콘서트: 무궁화 삼천리 [울산]|2016-11-12,2016,11,12,2016,11,12
26,DJ DOC 콘서트: 겨울 운동회 [부산],대중음악,부산사직실내체육관,14099,부산,DJ DOC 콘서트: 겨울 운동회 [부산]|2016-12-24,2016,12,24,2016,12,24
27,박정현 연말 콘서트: LET IT SNOW [부산],대중음악,벡스코 (BEXCO),4002,부산,박정현 연말 콘서트: LET IT SNOW [부산]|2016-12-30,2016,12,30,2016,12,31
28,엠씨더맥스 연말 콘서트: 겨울나기 [부산],대중음악,사직종합운동장,12995,부산,엠씨더맥스 연말 콘서트: 겨울나기 [부산]|2016-12-31,2016,12,31,2016,12,31
29,"제15회 전주세계소리축제, 월드뮤직빅파티",대중음악,한국소리문화의전당,7000,전북,"제15회 전주세계소리축제, 월드뮤직빅파티|2016-10-01",2016,10,1,2016,10,1
30,막심 므라비차 오케스트라 콘서트 [부산],서양음악(클래식),벡스코 (BEXCO),4002,부산,막심 므라비차 오케스트라 콘서트 [부산]|2016-05-14,2016,5,14,2016,5,14
31,조항조&박상민&장윤정의 문화사랑 콘서트,대중음악,제주종합경기장,5400,제주,조항조&박상민&장윤정의 문화사랑 콘서트|2017-12-24,2017,12,24,2017,12,24
32,정준일 오케스트라 콘서트,대중음악,경희대학교 평화의전당,4500,서울,정준일 오케스트라 콘서트|2017-12-02,2017,12,2,2017,12,3
33,김건모 25TH Anniversary Tour [인천],대중음악,인천남동체육관,8828,인천,김건모 25TH Anniversary Tour [인천]|2017-02-11,2017,2,11,2017,2,11
34,김광석 다시부르기 [수원],대중음악,수원종합운동장,5145,경기,김광석 다시부르기 [수원]|2017-12-30,2017,12,30,2017,12,30
35,리차드막스 단독 내한공연 [서울],대중음악,연세대학교 노천극장,7500,서울,리차드막스 단독 내한공연 [서울]|2017-06-03,2017,6,3,2017,6,3
36,"2017 김경호 전국투어 콘서트, The Show Must Go On",대중음악,경희대학교 평화의전당,4500,서울,"2017 김경호 전국투어 콘서트, The Show Must Go On|2017-05-13",2017,5,13,2017,5,13
37,리차드막스 RICHARD MARX 로맨틱콘서트 [부산],대중음악,벡스코 (BEXCO),4002,부산,리차드막스 RICHARD MARX 로맨틱콘서트 [부산]|2017-06-04,2017,6,4,2017,6,4
38,라쿤 영 페스티벌 [부산],대중음악,(재) 영화의전당,4000,부산,라쿤 영 페스티벌 [부산]|2017-08-26,2017,8,26,2017,8,26
39,나훈아 DREAM 콘서트 [부산],대중음악,벡스코 (BEXCO),4002,부산,나훈아 DREAM 콘서트 [부산]|2017-11-24,2017,11,24,2017,11,26
40,"With, Antenna. The Label Concert 2017 [부산]",대중음악,벡스코 (BEXCO),4002,부산,"With, Antenna. The Label Concert 2017 [부산]|2017-09-09",2017,9,9,2017,9,9
41,SHINee Debut 9th Anniversary Special Party!: ☆ SHINee DAY,대중음악,고려대학교 화정체육관,8057,서울,SHINee Debut 9th Anniversary Special Party!: ☆ SHINee DAY|2017-05-21,2017,5,21,2017,5,21
42,국제신문 창간 70주년 기념 MEGA CONCERT: 국카스텐 & 숙행 [부산],대중음악,벡스코 (BEXCO),4002,부산,국제신문 창간 70주년 기념 MEGA CONCERT: 국카스텐 & 숙행 [부산]|2017-03-03,2017,3,3,2017,3,3
43,전주얼티밋뮤직페스티벌,대중음악,전주종합경기장,30000,전북,전주얼티밋뮤직페스티벌|2017-08-04,2017,8,4,2017,8,6
44,영암모터락페스티벌,대중음악,국제자동차경주장,16138,전남,영암모터락페스티벌|2017-04-29,2017,4,29,2017,4,30
45,한일SUPER ROCK : Great Meeting [서울],대중음악,장충체육관,4507,서울,한일SUPER ROCK : Great Meeting [서울]|2017-07-01,2017,7,1,2017,7,1
46,인천 펜타포트 락 페스티벌,대중음악,송도달빛축제공원,30000,인천,인천 펜타포트 락 페스티벌|2017-08-11,2017,8,11,2017,8,13
47,"현대카드 컬처프로젝트 25, 아리아나 그란데(Ariana Grande)",대중음악,고척스카이돔,16744,서울,"현대카드 컬처프로젝트 25, 아리아나 그란데(Ariana Grande)|2017-08-15",2017,8,15,2017,8,15
48,더 바이브 패밀리 콘서트 [전주],대중음악,한국소리문화의전당,7000,전북,더 바이브 패밀리 콘서트 [전주]|2017-10-14,2017,10,14,2017,10,14
49,한일슈퍼락 페스티벌,대중음악,장충체육관,4507,서울,한일슈퍼락 페스티벌|2017-07-01,2017,7,1,2017,7,1
50,조항조&장윤정 콘서트 [군산],대중음악,월명종합경기장,6600,전북,조항조&장윤정 콘서트 [군산]|2017-09-02,2017,9,2,2017,9,2
51,김건모 25TH Anniversary Tour [부산],대중음악,벡스코 (BEXCO),18000,부산,김건모 25TH Anniversary Tour [부산]|2017-12-02,2017,12,2,2017,12,2
52,팬텀싱어2 콘서트 [인천],서양음악(클래식),삼산월드체육관,7140,인천,팬텀싱어2 콘서트 [인천]|2017-12-03,2017,12,3,2017,12,3
53,바이브×포맨 콘서트: 발라드림Ⅳ [부산],대중음악,벡스코 (BEXCO),18000,부산,바이브×포맨 콘서트: 발라드림Ⅳ [부산]|2017-12-25,2017,12,25,2017,12,25
54,김범수 콘서트: 명품 BACK TWO the 관객 [부산],대중음악,벡스코 (BEXCO),4002,부산,김범수 콘서트: 명품 BACK TWO the 관객 [부산]|2017-12-23,2017,12,23,2017,12,24
55,박정현 연말 콘서트: LET IT SNOW [부산],대중음악,벡스코 (BEXCO),4002,부산,박정현 연말 콘서트: LET IT SNOW [부산]|2017-12-30,2017,12,30,2017,12,31
56,박진영 나쁜파티: BLUE ＆ RED [부산],대중음악,부산사직실내체육관,14099,부산,박진영 나쁜파티: BLUE ＆ RED [부산]|2017-12-31,2017,12,31,2017,12,31
57,이승철 콘서트: COME BACK [수원],대중음악,수원종합운동장,5145,경기,이승철 콘서트: COME BACK [수원]|2017-11-11,2017,11,11,2017,11,11
58,원아시아 페스티벌: BOF Awards [부산],대중음악,(재) 영화의전당,4000,부산,원아시아 페스티벌: BOF Awards [부산]|2017-10-31,2017,10,31,2017,10,31
59,"원아시아 페스티벌, 개막공연 [부산]",대중음악,부산 종합운동장,53769,부산,"원아시아 페스티벌, 개막공연 [부산]|2017-10-22",2017,10,22,2017,10,22
60,서울 스타라이트 뮤지컬 페스티벌,뮤지컬,올림픽공원,10000,서울,서울 스타라이트 뮤지컬 페스티벌|2017-09-02,2017,9,2,2017,9,3
61,빅시티비츠 월드클럽돔 코리아,대중음악,인천문학경기장,49084,인천,빅시티비츠 월드클럽돔 코리아|2017-09-22,2017,9,22,2017,9,24
62,BRANDNEW WORLD SEOUL,대중음악,장충체육관,4507,서울,BRANDNEW WORLD SEOUL|2017-09-22,2017,9,22,2017,9,22
63,에일리X나윤권 Live Concert: The CHEMISTRY,대중음악,장충체육관,4507,서울,에일리X나윤권 Live Concert: The CHEMISTRY|2017-09-23,2017,9,23,2017,9,23
64,WORLD CLUB DOME KOREA,대중음악,인천문학경기장,49084,인천,WORLD CLUB DOME KOREA|2017-09-22,2017,9,22,2017,9,24
65,"With, Antenna: The Label Concert [부산]",대중음악,벡스코 (BEXCO),4002,부산,"With, Antenna: The Label Concert [부산]|2017-09-09",2017,9,9,2017,9,9
66,파주포크페스티벌,대중음악,파주 임진각 평화누리,30000,경기,파주포크페스티벌|2017-09-09,2017,9,9,2017,9,9
67,휘성 & 김태우 합동 콘서트: VOICE II MAN [수원],대중음악,수원종합운동장,5145,경기,휘성 & 김태우 합동 콘서트: VOICE II MAN [수원]|2017-09-03,2017,9,3,2017,9,3
68,휘성 & 김태우 합동 콘서트: VOICE II MAN [광주],대중음악,광주여자대학교,8337,광주,휘성 & 김태우 합동 콘서트: VOICE II MAN [광주]|2017-08-26,2017,8,26,2017,8,26
69,싸이 흠뻑쇼 [부산],대중음악,부산 종합운동장,4549,부산,싸이 흠뻑쇼 [부산]|2017-07-29,2017,7,29,2017,7,29
70,휘성&김태우 합동 콘서트: VOICE II MAN [청주],대중음악,청주교육대학교,4800,충북,휘성&김태우 합동 콘서트: VOICE II MAN [청주]|2017-08-19,2017,8,19,2017,8,19
71,미친 힙합: 도끼X더콰이엇X슈퍼비X면도,대중음악,올림픽공원,5003,서울,미친 힙합: 도끼X더콰이엇X슈퍼비X면도|2017-06-17,2017,6,17,2017,6,17
72,거미 앨범 발매기념 콘서트: STROKE [부산],대중음악,벡스코 (BEXCO),4002,부산,거미 앨범 발매기념 콘서트: STROKE [부산]|2017-07-08,2017,7,8,2017,7,8
73,스텔라장 피아노 리사이틀,서양음악(클래식),코엑스,7000,서울,스텔라장 피아노 리사이틀|2017-05-03,2017,5,3,2017,5,3
74,하이네켄 프레젠트 스타디움,대중음악,잠실종합운동장,65599,서울,하이네켄 프레젠트 스타디움|2017-07-08,2017,7,8,2017,7,8
75,춘천 밴드 페스티벌,대중음악,춘천송암스포츠타운,20000,강원,춘천 밴드 페스티벌|2017-05-19,2017,5,19,2017,5,20
76,월드 디제이 페스티벌,대중음악,잠실종합운동장,65599,서울,월드 디제이 페스티벌|2017-05-13,2017,5,13,2017,5,14
77,힙합페스티벌 [광주],대중음악,광주여자대학교,8337,광주,힙합페스티벌 [광주]|2017-04-29,2017,4,29,2017,4,29
78,SHINHWA LIVE: UNCHANGING [부산],대중음악,벡스코 (BEXCO),18000,부산,SHINHWA LIVE: UNCHANGING [부산]|2017-02-11,2017,2,11,2017,2,11
79,BTOB 단독 콘서트,대중음악,올림픽공원,5003,서울,BTOB 단독 콘서트|2017-01-21,2017,1,21,2017,1,22
80,이상한 나라의 앨리스 [부산],뮤지컬,벡스코 (BEXCO),4002,부산,이상한 나라의 앨리스 [부산]|2017-08-10,2017,8,10,2017,8,12
81,엉뚱발랄 콩순이: 엄마편 [부산],뮤지컬,벡스코 (BEXCO),4002,부산,엉뚱발랄 콩순이: 엄마편 [부산]|2017-08-05,2017,8,5,2017,8,6
82,대한민국 포크 송년 콘서트 [여수],대중음악,진남운동장(진남실내체육관),4197,전남,대한민국 포크 송년 콘서트 [여수]|2018-12-29,2018,12,29,2018,12,29
83,타임슬립 슈퍼콘서트,대중음악,코엑스,7000,서울,타임슬립 슈퍼콘서트|2018-12-22,2018,12,22,2018,12,22
84,나훈아 드림 콘서트 [창원],대중음악,창원스포츠파크,27085,경남,나훈아 드림 콘서트 [창원]|2018-07-07,2018,7,7,2018,7,7
85,나훈아 드림 콘서트 [광주],대중음악,광주여자대학교,8337,광주,나훈아 드림 콘서트 [광주]|2018-10-13,2018,10,13,2018,10,13
86,송대관VS태진아 라이벌 콘서트: 한판붙자 ROUND 2 [광주],대중음악,광주염주실내체육관,6862,광주,송대관VS태진아 라이벌 콘서트: 한판붙자 ROUND 2 [광주]|2018-03-10,2018,3,10,2018,3,10
87,이브 20주년 콘서트,대중음악,장충체육관,4507,서울,이브 20주년 콘서트|2018-06-03,2018,6,3,2018,6,3
88,BTOB TIME: 우리들의 콘서트 [부산],대중음악,벡스코 (BEXCO),18000,부산,BTOB TIME: 우리들의 콘서트 [부산]|2018-02-24,2018,2,24,2018,2,24
89,BLOCK B BLOCKBUSTER: MONTAGE,대중음악,잠실종합운동장,11032,서울,BLOCK B BLOCKBUSTER: MONTAGE|2018-01-27,2018,1,27,2018,1,28
90,이은미 콘서트: WINTER & FALL [여수],대중음악,진남운동장(진남실내체육관),4197,전남,이은미 콘서트: WINTER & FALL [여수]|2018-12-28,2018,12,28,2018,12,28
91,월드 디제이 페스티벌 [2018 WORLD DJ FESTIVAL],대중음악,잠실종합운동장,65599,서울,월드 디제이 페스티벌 [2018 WORLD DJ FESTIVAL]|2018-05-26,2018,5,26,2018,5,27
92,에일리 단독 콘서트: I AM: AILEE [부산],대중음악,벡스코 (BEXCO),4002,부산,에일리 단독 콘서트: I AM: AILEE [부산]|2018-12-22,2018,12,22,2018,12,22
93,FANTASIA SUPER CONCERT [부천],대중음악,부천종합운동장,34456,경기,FANTASIA SUPER CONCERT [부천]|2018-11-03,2018,11,3,2018,11,3
94,SUPERSTAR IN CHRISTMAS,대중음악,부천실내체육관,5403,경기,SUPERSTAR IN CHRISTMAS|2018-12-25,2018,12,25,2018,12,25
95,맘마미아2 개봉 기념 아바걸스 월드투어 [부산],대중음악,벡스코 (BEXCO),4002,부산,맘마미아2 개봉 기념 아바걸스 월드투어 [부산]|2018-06-03,2018,6,3,2018,6,3
96,양희은 전국 투어 콘서트: 뜻밖의 선물 [부산],대중음악,벡스코 (BEXCO),4002,부산,양희은 전국 투어 콘서트: 뜻밖의 선물 [부산]|2018-11-04,2018,11,4,2018,11,4
97,청춘아레나 [서울],대중음악,고척스카이돔,16744,서울,청춘아레나 [서울]|2018-11-17,2018,11,17,2018,11,17
98,청춘아레나 [인천],대중음악,인천문학경기장,49084,인천,청춘아레나 [인천]|2018-10-06,2018,10,6,2018,10,6
99,찰리푸스 내한공연,대중음악,잠실종합운동장,11032,서울,찰리푸스 내한공연|2018-11-07,2018,11,7,2018,11,8
100,제2회 한국뮤지컬어워즈,뮤지컬,경희대학교 평화의전당,4500,서울,제2회 한국뮤지컬어워즈|2018-01-22,2018,1,22,2018,1,22
101,원오크록 [One Ok Rock] 내한공연,대중음악,올림픽공원,5003,서울,원오크록 [One Ok Rock] 내한공연|2018-02-02,2018,2,2,2018,2,2
102,원더우먼페스티벌,대중음악,연세대학교 노천극장,7500,서울,원더우먼페스티벌|2018-09-15,2018,9,15,2018,9,16
103,"롯데카드 무브, 사운드트랙 vol.3 싸이X비",대중음악,올림픽공원,15000,서울,"롯데카드 무브, 사운드트랙 vol.3 싸이X비|2018-09-29",2018,9,29,2018,9,29
104,어제그린오늘 뮤직페스티벌,대중음악,과천 서울대공원,10000,경기,어제그린오늘 뮤직페스티벌|2018-09-15,2018,9,15,2018,9,16
105,슈퍼스타: THE ORIGINAL [서울],대중음악,고려대학교 화정체육관,8057,서울,슈퍼스타: THE ORIGINAL [서울]|2018-12-09,2018,12,9,2018,12,9
106,"더 라이브 볼륨 1, 카를라 브루니",대중음악,경희대학교 평화의전당,4500,서울,"더 라이브 볼륨 1, 카를라 브루니|2018-11-02",2018,11,2,2018,11,2
107,김건모 25th Anniversary Tour [인천],서양음악(클래식),송도컨벤시아,5000,인천,김건모 25th Anniversary Tour [인천]|2018-12-01,2018,12,1,2018,12,1
108,골든 나인 힙합 페스티발 2018,대중음악,고척스카이돔,16744,서울,골든 나인 힙합 페스티발 2018|2018-01-06,2018,1,6,2018,1,6
109,나훈아 드림 콘서트 [천안],대중음악,유관순체육관,5482,충남,나훈아 드림 콘서트 [천안]|2018-07-14,2018,7,14,2018,7,14
110,나훈아 드림 콘서트 [진주],대중음악,진주실내체육관,5184,경남,나훈아 드림 콘서트 [진주]|2018-11-24,2018,11,24,2018,11,24
111,나훈아 드림 콘서트 [제주],대중음악,ICC제주국제컨벤션센터,4300,제주,나훈아 드림 콘서트 [제주]|2018-12-08,2018,12,8,2018,12,8
112,윤종신 전국투어 콘서트: 좋니? [제주],대중음악,ICC제주국제컨벤션센터,4300,제주,윤종신 전국투어 콘서트: 좋니? [제주]|2018-06-09,2018,6,9,2018,6,9
113,나훈아 드림 콘서트 [전주],대중음악,전주종합경기장,30000,전북,나훈아 드림 콘서트 [전주]|2018-04-28,2018,4,28,2018,4,28
114,SHINee Debut 10th Anniversary: SHINee DAY,대중음악,고려대학교 화정체육관,8057,서울,SHINee Debut 10th Anniversary: SHINee DAY|2018-05-27,2018,5,27,2018,5,27
115,나훈아 드림 콘서트 [원주],대중음악,원주종합체육관,4564,강원,나훈아 드림 콘서트 [원주]|2018-05-19,2018,5,19,2018,5,19
116,나훈아 드림 콘서트 [안동],대중음악,안동실내체육관,6209,경북,나훈아 드림 콘서트 [안동]|2018-11-10,2018,11,10,2018,11,10
117,SOUND CITY,대중음악,올림픽공원,5003,서울,SOUND CITY|2018-07-27,2018,7,27,2018,7,29
118,휘성 전국투어 콘서트: Get Sexxy [서울(앵콜)],대중음악,잠실종합운동장,11032,서울,휘성 전국투어 콘서트: Get Sexxy [서울(앵콜)]|2018-02-28,2018,2,28,2018,2,28
119,손승연X길구봉구 LIVE CONCERT: The Fantastic [서울],대중음악,장충체육관,4507,서울,손승연X길구봉구 LIVE CONCERT: The Fantastic [서울]|2018-06-02,2018,6,2,2018,6,2
120,"더원, 김태우 콘서트 [청주]",대중음악,청주교육대학교,4800,충북,"더원, 김태우 콘서트 [청주]|2018-10-20",2018,10,20,2018,10,20
121,"홍진영, 알리 콘서트 [청주]",대중음악,청주교육대학교,4800,충북,"홍진영, 알리 콘서트 [청주]|2018-10-14",2018,10,14,2018,10,14
122,월드 프렌즈 뮤직 페스티벌,대중음악,화성종합경기타운,35265,경기,월드 프렌즈 뮤직 페스티벌|2018-10-09,2018,10,9,2018,10,9
123,KESHA RAINBOW TOUR,대중음악,연세대학교 노천극장,7500,서울,KESHA RAINBOW TOUR|2018-09-14,2018,9,14,2018,9,14
124,환희X린 LIVE CONCERT: The Fantastic vol.2,대중음악,잠실학생체육관,5400,서울,환희X린 LIVE CONCERT: The Fantastic vol.2|2018-08-25,2018,8,25,2018,8,25
125,손승연 첫 단독 투어 콘서트: The MUSE [서울],대중음악,잠실학생체육관,5400,서울,손승연 첫 단독 투어 콘서트: The MUSE [서울]|2018-08-26,2018,8,26,2018,8,26
126,포르테 디 콰트로 단독 콘서트: 명작（名作）[부산],대중음악,벡스코 (BEXCO),4002,부산,포르테 디 콰트로 단독 콘서트: 명작（名作）[부산]|2018-09-08,2018,9,8,2018,9,8
127,에일리X정세운X조현아: Summer Day Concert,대중음악,경희대학교 평화의전당,4500,서울,에일리X정세운X조현아: Summer Day Concert|2018-08-15,2018,8,15,2018,8,15
128,김건모 25th Anniversary Tour [부산],대중음악,벡스코 (BEXCO),18000,부산,김건모 25th Anniversary Tour [부산]|2018-12-15,2018,12,15,2018,12,15
129,세계마술챔피언쉽 스페셜 갈라쇼,서커스/마술,벡스코 (BEXCO),4002,부산,세계마술챔피언쉽 스페셜 갈라쇼|2018-07-10,2018,7,10,2018,7,13
130,세계마술챔피언쉽 파이널 갈라쇼,서커스/마술,벡스코 (BEXCO),4002,부산,세계마술챔피언쉽 파이널 갈라쇼|2018-07-15,2018,7,15,2018,7,15
131,파주포크 페스티벌,대중음악,파주 임진각 평화누리,30000,경기,파주포크 페스티벌|2018-09-08,2018,9,8,2018,9,8
132,K-STAR Concert,대중음악,고려대학교 화정체육관,8057,서울,K-STAR Concert|2018-07-28,2018,7,28,2018,7,28
133,빅3 송년음악회: 따뜻한 동행 [안양],대중음악,안양종합운동장,6690,경기,빅3 송년음악회: 따뜻한 동행 [안양]|2018-12-15,2018,12,15,2018,12,15
134,NICE DAY LAND,대중음악,해운대해수욕장,120000,부산,NICE DAY LAND|2018-07-27,2018,7,27,2018,7,28
135,임창정 콘서트: IMCHANGJUNG [서울],대중음악,잠실종합운동장,11032,서울,임창정 콘서트: IMCHANGJUNG [서울]|2018-12-24,2018,12,24,2018,12,25
136,팬텀싱어2 콘서트 [청주],서양음악(클래식),청주교육대학교,4800,충북,팬텀싱어2 콘서트 [청주]|2018-01-27,2018,1,27,2018,1,27
137,지니 뮤직 페스티벌 ver. VIVID,대중음악,올림픽공원,5003,서울,지니 뮤직 페스티벌 ver. VIVID|2018-07-21,2018,7,21,2018,7,21
138,골든나인 힙합 페스티벌,대중음악,고척스카이돔,16744,서울,골든나인 힙합 페스티벌|2018-01-06,2018,1,6,2018,1,6
139,RAPBEAT FESTIVAL,대중음악,고척스카이돔,16744,서울,RAPBEAT FESTIVAL|2018-09-15,2018,9,15,2018,9,15
140,스카 슈퍼스웩 페스티벌 [수원],대중음악,수원종합운동장,5145,경기,스카 슈퍼스웩 페스티벌 [수원]|2018-06-16,2018,6,16,2018,6,16
141,NBA BUZZER BEAT FESTIVAL,대중음악,고려대학교 화정체육관,8057,서울,NBA BUZZER BEAT FESTIVAL|2018-07-14,2018,7,14,2018,7,14
142,그린플러그드 [동해],대중음악,망상 해수욕장,50000,강원,그린플러그드 [동해]|2018-07-21,2018,7,21,2018,7,22
143,"팬텀vs팬텀 콘서트: 포르테 디 콰트로, 포레스텔라 [부산]",대중음악,벡스코 (BEXCO),4002,부산,"팬텀vs팬텀 콘서트: 포르테 디 콰트로, 포레스텔라 [부산]|2018-06-16",2018,6,16,2018,6,17
144,Midnight Picnic Festival,대중음악,삼포해수욕장,70000,강원,Midnight Picnic Festival|2018-07-13,2018,7,13,2018,7,14
145,조항조&장윤정 콘서트 [부천],대중음악,부천실내체육관,5403,경기,조항조&장윤정 콘서트 [부천]|2018-04-07,2018,4,7,2018,4,7
146,슈퍼콘서트: 토요일을 즐겨라 [부산],대중음악,부산사직실내체육관,14099,부산,슈퍼콘서트: 토요일을 즐겨라 [부산]|2018-05-12,2018,5,12,2018,5,12
147,"렛츠기릿 힙합콘서트: 도끼, 넉살, 우원재, 해쉬스완 [서울]",대중음악,장충체육관,4507,서울,"렛츠기릿 힙합콘서트: 도끼, 넉살, 우원재, 해쉬스완 [서울]|2018-03-03",2018,3,3,2018,3,3
148,거미&노을 Luminous concert [청주],대중음악,청주교육대학교,4800,충북,거미&노을 Luminous concert [청주]|2018-04-07,2018,4,7,2018,4,7
149,송대관vs태진아 라이벌콘서트 전국투어: 한판붙자 ROUND2 [광주],대중음악,광주염주실내체육관,6862,광주,송대관vs태진아 라이벌콘서트 전국투어: 한판붙자 ROUND2 [광주]|2018-03-10,2018,3,10,2018,3,10
150,이선희 콘서트: Climax [광주],대중음악,광주여자대학교,8337,광주,이선희 콘서트: Climax [광주]|2018-12-29,2018,12,29,2018,12,29
151,크리스마스 칸타타 [울산],뮤지컬,벡스코 (BEXCO),4002,부산,크리스마스 칸타타 [울산]|2018-12-14,2018,12,14,2018,12,16
152,라라랜드 인 콘서트,서양음악(클래식),장충체육관,4507,서울,라라랜드 인 콘서트|2018-12-24,2018,12,24,2018,12,25
153,플라시도 도밍고 내한공연,서양음악(클래식),잠실종합운동장,11032,서울,플라시도 도밍고 내한공연|2018-10-26,2018,10,26,2018,10,26
154,애니메이션 OST 콘서트 어벤져스 페스티벌,서양음악(클래식),벡스코 (BEXCO),4002,부산,애니메이션 OST 콘서트 어벤져스 페스티벌|2018-10-27,2018,10,27,2018,10,27
155,마당놀이 뺑파,연극,장충체육관,4507,서울,마당놀이 뺑파|2018-09-24,2018,9,24,2018,10,5
156,폴포츠와 리틀엔젤스의 희망콘서트,서양음악(클래식),청심평화월드센터,16991,경기,폴포츠와 리틀엔젤스의 희망콘서트|2018-08-27,2018,8,27,2018,8,27
157,파워레인저 애니멀포스 [부산],뮤지컬,벡스코 (BEXCO),4002,부산,파워레인저 애니멀포스 [부산]|2018-07-28,2018,7,28,2018,7,29
158,新 마당놀이 뺑파게이트,연극,장충체육관,4507,서울,新 마당놀이 뺑파게이트|2018-05-04,2018,5,4,2018,5,13
159,라라랜드 인 콘서트,서양음악(클래식),경희대학교 평화의전당,4500,서울,라라랜드 인 콘서트|2018-03-03,2018,3,3,2018,3,3
160,헬로카봇 시즌3: 우당탕탕 집짓기 대작전 [부산],뮤지컬,벡스코 (BEXCO),4002,부산,헬로카봇 시즌3: 우당탕탕 집짓기 대작전 [부산]|2018-04-21,2018,4,21,2018,4,22
